nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,F,26/11/1986,53,8,4,14,10,4,"199.535,84","20.869,22","24.814,35","47.199,17","40.425,87","61.996,18","1.826,39",0,0,0,"2.133,82","270,84",0,"1.087.643,97","110.447,75","111.310,98","111.014,24","111.416,94","111.416,94","110.963,22","109.667,84","104.478,85","105.163,12","101.764,09",0,0,"33.763,00",1
NATÁLIA BASTOS BONAVIDES,F,15/06/1988,86,6,6,16,19,4,"329.375,95","31.946,09","31.413,95","72.688,49","54.961,85","61.905,75","41.735,22","31.051,52","966,23","2.706,85","0,00","0,00",0,"1.028.961,46","106.600,62","90.902,30","96.132,21","102.664,33","98.979,97","99.242,75","104.019,87","107.795,14","111.410,75","111.213,52",0,0,"33.763,00",0
PAULA MORENO PARO BELMONTE,F,23/06/1973,87,5,2,62,33,6,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"1.035.760,26","105.453,30","105.634,73","105.767,33","110.422,17","109.556,14","107.546,98","94.842,01","90.556,61","98.626,57","107.354,42",0,0,"33.763,00",0
ROSA NEIDE SANDES DE ALMEIDA,F,08/08/1963,88,4,3,40,9,4,"353.148,92","34.234,38","47.655,50","65.702,41","36.747,44","42.534,13","32.039,17","23.335,58","18.867,29","10.899,48","21.660,54","19.473,00",0,"1.099.986,55","111.574,65","110.892,89","108.386,56","109.037,91","110.196,13","109.389,74","109.971,90","109.688,57","109.645,72","111.202,48",0,0,"33.763,00",1
MARIA AUXILIADORA SEABRA REZENDE,F,01/10/1964,71,3,0,69,44,3,"244.204,17","20.187,34","51.058,21","42.305,79","52.041,49","47.722,61","22.610,88","8.277,85",0,0,0,"0,00",0,"1.033.855,08","97.131,95","97.131,95","102.063,65","104.981,11","97.310,99","99.796,88","102.973,35","109.375,33","111.544,35","111.545,52",0,0,"33.763,00",0
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,F,30/01/1986,67,25,17,24,29,13,"221.802,92","24.757,35","14.536,29","33.354,13","32.630,75","38.636,18","25.835,19","21.096,42","20.196,27","4.322,45","6.205,76","232,13",0,"1.091.268,51","103.819,39","108.270,50","109.719,50","110.069,34","110.134,52","109.472,23","110.404,13","110.404,13","110.398,05","108.576,72",0,0,"33.763,00",0
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,F,21/06/1973,91,1,0,34,6,0,"369.249,80","73.518,31","24.414,79","47.486,37","49.562,35","28.947,17","39.390,78","27.825,99","17.636,42","7.286,62","47.181,00","6.000,00",0,"1.113.310,62","111.465,49","111.400,50","110.738,38","111.378,13","111.439,63","111.111,26","111.351,62","111.476,44","111.465,50","111.483,67",0,0,"33.763,00",0
KATIA DA SILVA SASTRE,F,04/04/1976,91,1,0,38,19,0,"355.919,46","34.893,09","34.694,24","64.166,28","35.385,20","36.339,70","38.923,80","34.961,86","43.018,05","29.335,74","4.107,45","94,05",0,"1.056.090,36","107.322,54","104.138,84","105.140,20","105.895,02","105.351,11","96.070,39","98.655,82","111.265,29","111.265,29","110.985,86",0,0,"33.763,00",0
MARIA PERPÉTUA DE ALMEIDA,F,28/12/1964,86,6,4,56,35,8,"388.926,37","40.876,75","38.531,07","65.864,03","66.620,97","53.571,92","37.080,29","43.254,26","14.245,86","16.783,06","11.611,31","486,85",0,"1.103.492,51","111.465,58","106.860,33","104.769,12","111.544,45","111.544,45","111.544,45","111.499,84","111.405,91","111.429,19","111.429,19",0,0,"33.763,00",1
REJANE RIBEIRO SOUSA DIAS,F,04/09/1972,90,2,0,65,33,0,"238.951,27","16.913,54","23.065,31","34.072,61","41.316,06","35.393,20","27.658,11","30.276,40","10.634,60","10.120,33","9.141,10","360,01",0,"1.022.389,38","94.123,29","94.123,29","94.123,29","96.640,01","103.386,00","97.900,48","110.730,33","111.077,25","111.077,25","109.208,19",0,0,"33.763,00",0
ELCIONE THEREZINHA ZAHLUTH BARBALHO,F,05/10/1944,74,18,5,11,18,2,"323.224,20","18.282,77","21.903,47","42.172,90","54.698,46","50.424,42","44.680,57","25.428,51","30.182,96","15.955,03","18.147,74","1.347,37",0,"1.090.868,22","109.942,97","108.266,63","106.606,75","106.963,42","110.173,43","110.012,89","110.173,43","111.342,81","111.617,17","105.768,72",0,0,"33.763,00",0
ÉRIKA JUCÁ KOKAY,F,15/08/1957,90,2,1,132,17,1,"219.455,01","21.175,36","26.961,36","57.030,55","8.623,76","69.810,79","1.267,02","375,92","393,19","354,58","33.212,46","250,02",0,"1.104.968,28","106.905,18","108.909,18","111.417,57","111.495,83","111.623,02","111.495,84","110.449,20","109.666,70","111.532,23","111.473,53",0,0,"33.763,00",0
FLÁVIA CAROLINA PÉRES,F,21/01/1980,60,9,5,0,4,1,"94.924,34",0,0,"0,00","6.864,73","10.563,71","18.634,34","15.284,18","16.185,53","14.441,81","12.950,04","0,00",0,"584.981,55","0,00","0,00","1.906,24","70.338,95","79.195,45","81.408,68","85.648,32","88.827,97","88.827,97","88.827,97",0,0,"33.763,00",0
GREYCE DE QUEIROZ ELIAS,F,15/12/1981,77,15,12,28,22,4,"171.166,04","14.671,44","18.523,74","21.705,97","35.221,54","45.590,67","15.599,72","12.425,68","2.786,62","2.040,22","2.184,36","416,08",0,"1.068.635,25","101.294,97","95.517,25","104.632,97","104.398,53","107.931,21","110.975,70","110.129,51","110.600,89","111.580,83","111.573,39",0,0,"33.763,00",1
