nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
DANILO JORGE DE BARROS CABRAL,M,21/04/1967,83,9,3,8,28,6,"272.413,48","23.243,32","23.195,87","25.003,47","45.722,17","49.445,71","26.152,01","32.469,21","12.877,47","8.866,71","24.597,36","840,18",0,"1.005.945,69","95.045,26","94.090,38","94.090,38","98.095,56","99.861,52","99.861,52","100.443,65","100.923,05","111.114,04","111.465,45",0,0,"33.763,00",0
DARCI DE MATOS,M,08/11/1961,80,12,2,55,12,3,"264.386,24","27.456,09","36.324,08","39.593,29","38.942,67","42.279,75","18.366,03","26.329,15","14.161,38","1.290,05","19.146,68","497,07",0,"1.112.429,82","111.593,97","111.579,26","111.579,26","111.659,67","111.659,67","110.174,35","110.543,76","111.508,04","111.508,04","110.579,75",0,0,"33.763,00",0
ANTÔNIO DA LUZ FURTADO,M,06/01/1972,90,2,1,73,24,6,"282.344,68","34.263,89","43.088,49","42.959,20","32.920,98","47.359,21","16.303,12","19.852,22","12.243,23","8.009,70","21.960,09","3.384,55",0,"1.115.182,54","110.967,56","111.617,20","111.617,20","111.617,20","111.617,20","111.623,07","111.653,61","111.653,61","111.653,61","111.653,61",0,0,"33.763,00",0
MARCELO EDUARDO FREITAS,M,04/03/1976,80,12,4,66,2,1,"286.506,30","31.421,05","43.796,10","33.737,54","24.745,40","39.348,34","29.355,58","26.303,93","19.417,00","19.550,28","18.173,84","657,24",0,"1.067.668,96","104.088,18","103.290,21","103.290,21","102.664,07","110.724,59","111.483,80","111.483,80","107.272,97","107.289,51","103.558,73",0,0,"33.763,00",0
DAVID BEZERRA RIBEIRO SOARES,M,21/12/1973,63,14,11,47,13,12,"183.939,37",0,0,"31.858,14","35.507,14","29.111,16","37.770,69","23.083,39","13.606,57","7.900,18","4.802,08","300,02",0,"1.068.591,77","103.135,91","105.964,51","105.964,51","99.800,43","107.637,25","108.516,33","107.977,68","108.297,02","111.277,52","110.582,49",0,0,"33.763,00",2
PABLO OLIVA SOUZA,M,26/07/1976,78,14,0,112,30,0,"360.476,10","28.267,00","51.491,99","65.512,79","64.732,08","41.341,87","31.189,75","32.398,76","26.832,20","17.440,00","988,39","281,27",0,"977.905,08","99.985,47","92.308,59","92.308,59","99.950,28","106.315,17","106.987,85","101.323,39","101.342,41","107.310,62","89.036,79",0,0,"33.763,00",0
WALDIR SOARES DE OLIVEIRA,M,28/11/1962,86,6,6,7,49,5,"137.419,65","14.119,59","16.610,96","17.642,50","17.254,73","17.514,69","15.282,52","15.088,53","12.955,79","10.015,33","421,51","513,50",0,"987.728,92","101.978,63","96.319,60","96.319,60","92.534,14","92.534,14","94.998,88","101.543,63","103.436,75","102.749,57","102.015,00",0,0,"33.763,00",0
EDER MAURO CARDOSO BARRA,M,14/12/1960,79,13,3,4,12,0,"325.195,22","46.351,28","56.697,20","17.871,34","52.514,33","52.104,65","51.446,49","39.019,70","6.514,58","2.675,65","0,00","0,00",0,"1.101.131,44","111.587,65","109.774,54","109.774,54","111.611,12","111.611,12","111.168,32","110.779,91","107.856,37","107.856,37","107.856,37",0,0,"33.763,00",0
DIEGO ALEXSANDER GONCALO PAULA GARCIA,M,10/10/1984,89,3,3,134,46,3,"255.305,66","9.153,29","13.917,88","34.929,43","39.069,90","47.847,45","36.301,69","32.663,59","20.267,53","6.819,55","11.053,47","3.281,88",0,"916.158,19","93.054,98","97.522,54","97.522,54","98.459,58","96.593,67","96.173,37","99.859,25","84.300,62","79.772,64","79.111,23",0,0,"33.763,00",0
DIEGO LEONARDO DE ANDRADE CARVALHO,M,08/08/1977,70,22,22,7,20,11,"201.719,62","27.409,47","32.013,45","29.883,01","17.554,55","41.393,91","15.224,17","22.079,82","8.663,35","7.497,89","0,00","0,00",0,"1.109.625,13","111.580,82","111.580,82","111.580,82","111.580,82","111.580,82","111.535,53","111.241,15","110.635,35","109.154,50","109.154,50",0,0,"33.763,00",0
